id	sha256	pages	acquired_on	source_url	publisher	rights_status	acquisition_status	resolved_title	resolved_author
descartes-discourse	d3d59e3749b51b8918224414393fe728785da1056c949b4ad7413780d6fc65b8	49	2026-08-16	https://www.gutenberg.org/ebooks/59	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences	Descartes, René
descartes-meditations	dc675d207a9a71f43e4cad8442ddea6bb8eefadd45cef00665ced362cd543729	1	2026-08-16	https://www.gutenberg.org/ebooks/search/?query=Meditations+First+Philosophy+Descartes	WAYKEEPER	SOURCE REVIEW REQUIRED / NO FULL TEXT INSTALLED	source-review	Meditations on First Philosophy	Rene Descartes
spinoza-ethics	f5fb6931907644dc13b30051fa4733e39b5dc2ebc426d0ec4f503669dbdd561f	203	2026-08-16	https://www.gutenberg.org/ebooks/3800	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	Ethics	Spinoza, Benedictus de
spinoza-theological-political	fff21b41c1bc8faace89c260dc6f28332be3d67b0d61117740b021e094c60283	60	2026-08-16	https://www.gutenberg.org/ebooks/992	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	A Theological-Political Treatise [Part IV]	Spinoza, Benedictus de
leibniz-monadology	c84b2cc1622463d3620f650547658638aa96383f0b43919a832db13c76f12934	1	2026-08-16	https://www.gutenberg.org/ebooks/search/?query=Monadology+Leibniz	WAYKEEPER	SOURCE REVIEW REQUIRED / NO FULL TEXT INSTALLED	source-review	The Monadology	Gottfried Wilhelm Leibniz
berkeley-principles	eedccc7dc5c1c5d1ca0481fcbf8487090c1604b362d66f9d67d741578ad993b0	76	2026-08-16	https://www.gutenberg.org/ebooks/4723	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	A Treatise Concerning the Principles of Human Knowledge	Berkeley, George
hume-enquiry	bd6109b183502d08ff86246291f687459358feb491d64c2f401ad9234d76109a	132	2026-08-16	https://www.gutenberg.org/ebooks/9662	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	An Enquiry Concerning Human Understanding	Hume, David
hume-treatise	cc2407cc2ca667def80b6d1edd17cd295a9b8aa2e28381f67f20e1c58036ceb5	441	2026-08-16	https://www.gutenberg.org/ebooks/4705	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	A Treatise of Human Nature	Hume, David
hume-dialogues	046a29d1c9630adc5d26c4dbf52f5747204546dda94878066c7057dab3cca42b	78	2026-08-16	https://www.gutenberg.org/ebooks/4583	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	Dialogues Concerning Natural Religion	Hume, David
kant-critique-pure-reason	66a0a78ac47e35fee23f07bb8a702e76c4e36d17b94a143015ad16e6608af731	424	2026-08-16	https://www.gutenberg.org/ebooks/4280	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	The Critique of Pure Reason	Kant, Immanuel
kant-groundwork	dbd37b5877bedd82127803e1390854638ab2e38eec4b2b00ae00a69a1fa22ae5	1	2026-08-16	https://www.gutenberg.org/ebooks/search/?query=Groundwork+Metaphysics+Morals+Kant	WAYKEEPER	SOURCE REVIEW REQUIRED / NO FULL TEXT INSTALLED	source-review	Groundwork of the Metaphysics of Morals	Immanuel Kant
mill-system-logic	d34cb348aac163ac01708f374bb22178558e507bb1ff4115a5648e7c94546240	774	2026-08-16	https://www.gutenberg.org/ebooks/27942	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	A System of Logic, Ratiocinative and Inductive	Mill, John Stuart
peirce-selected-essays	34061f0c28a39d613fbc0566421a4e8fda418bbbc4ba9464cb98d0e99d147549	1	2026-08-16	https://www.gutenberg.org/ebooks/search/?query=Peirce+essays+pragmatism+logic	WAYKEEPER	SOURCE REVIEW REQUIRED / NO FULL TEXT INSTALLED	source-review	Selected Philosophical Essays	Charles Sanders Peirce
james-pragmatism	32b75f9c7c711616882dd78422bf42f06ea1d1846c35d94e2e8d88623586988c	111	2026-08-16	https://www.gutenberg.org/ebooks/5116	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	Pragmatism: A New Name for Some Old Ways of Thinking	James, William
russell-problems	931fd8d1580dbe7a7ce7f435bf27795fdcd2c36a36e2fbe8bd5139b8bb720008	88	2026-08-16	https://www.gutenberg.org/ebooks/5827	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	The Problems of Philosophy	Russell, Bertrand
wittgenstein-tractatus	89c2d34ca01ccc57ade2b78365a84eb312ca3b032b7f8a34d5ec289548634478	1	2026-08-16	https://www.gutenberg.org/ebooks/search/?query=Tractatus+Logico+Philosophicus+Wittgenstein	WAYKEEPER	SOURCE REVIEW REQUIRED / NO FULL TEXT INSTALLED	source-review	Tractatus Logico-Philosophicus	Ludwig Wittgenstein
whitehead-science-modern-world	d139c0d125d2351eceea29d39b20b75eddd1e12f7e068afae1a793b9c3f44775	176	2026-08-16	https://www.gutenberg.org/ebooks/68611	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	Science and the modern world	Whitehead, Alfred North
